"date","year","month","CRE_SW","CRE_LW","CRE_net"
1993-06-01,1993,6,-43.6177455246686,26.468747022153,-17.1489985025156
1993-07-01,1993,7,-46.3279153779651,26.616386085767,-19.7115292921981
1993-08-01,1993,8,-45.7535099921431,26.078648540287,-19.6748614518561
1993-09-01,1993,9,-44.7439660774179,26.221401012343,-18.5225650650749
1993-10-01,1993,10,-46.1794160748881,26.180862861695,-19.9985532131931
1993-11-01,1993,11,-47.9249835601539,26.363855340659,-21.5611282194949
1993-12-01,1993,12,-49.7696167312767,26.039425709201,-23.7301910220757
1994-01-01,1994,1,-48.8907177181329,25.265925032363,-23.6247926857699
1994-02-01,1994,2,-47.569460441916,25.059640631855,-22.509819810061
1994-03-01,1994,3,-43.5029111565066,25.260953176202,-18.2419579803047
1994-04-01,1994,4,-40.3946356238222,24.937857657943,-15.4567779658792
1994-05-01,1994,5,-40.9130382795225,25.503719627253,-15.4093186522695
1994-06-01,1994,6,-43.1414753734911,25.863618403484,-17.2778569700071
1994-07-01,1994,7,-43.9622706697284,25.3199438233029,-18.6423268464254
1994-08-01,1994,8,-45.3616580381907,25.9952076909821,-19.3664503472086
1994-09-01,1994,9,-45.2696881742943,25.865085732482,-19.4046024418123
1994-10-01,1994,10,-45.6074046879234,26.086223282704,-19.5211814052194
1994-11-01,1994,11,-45.6462675844642,25.704959853754,-19.9413077307102
1994-12-01,1994,12,-47.9869227760523,25.394410874564,-22.5925119014883
1995-01-01,1995,1,-49.6790661149709,25.6541990782899,-24.024867036681
1995-02-01,1995,2,-46.1390639016125,25.309732598175,-20.8293313034375
1995-03-01,1995,3,-44.2301556715999,25.771281539351,-18.4588741322489
1995-04-01,1995,4,-43.4688299149896,26.399940537906,-17.0688893770835
1995-05-01,1995,5,-42.6274937864449,26.259116152014,-16.3683776344309
1995-06-01,1995,6,-43.6576876847858,26.027469398016,-17.6302182867698
1995-07-01,1995,7,-44.3966036766104,25.525197003096,-18.8714066735145
1995-08-01,1995,8,-46.6187115052594,26.1232713037911,-20.4954402014683
1995-09-01,1995,9,-48.3907504141995,27.219612473674,-21.1711379405255
1995-10-01,1995,10,-47.3167260767779,27.006207315841,-20.3105187609369
1995-11-01,1995,11,-48.6577382395372,26.507751430834,-22.1499868087032
1995-12-01,1995,12,-50.5311008278927,26.560398983534,-23.9707018443586
1996-01-01,1996,1,-50.1677596665895,26.057922299909,-24.1098373666805
1996-02-01,1996,2,-46.9462019666888,25.515929462267,-21.4302725044218
1996-03-01,1996,3,-45.3367222944893,26.32472840288,-19.0119938916093
1996-04-01,1996,4,-41.5905185360059,25.518412631751,-16.0721059042549
1996-05-01,1996,5,-42.5226297666373,26.3631045940671,-16.1595251725702
1996-06-01,1996,6,-44.1962193910475,26.385601887689,-17.8106175033585
1996-07-01,1996,7,-44.6780066094296,26.15306555796,-18.5249410514697
1996-08-01,1996,8,-45.386595712707,26.1264488164509,-19.2601468962561
1996-09-01,1996,9,-46.1054360799988,26.408528557866,-19.6969075221328
1996-10-01,1996,10,-47.9762538144159,27.012816598404,-20.9634372160119
1996-11-01,1996,11,-47.4605036633464,26.302668150617,-21.1578355127294
1996-12-01,1996,12,-48.5847986498842,25.734016588476,-22.8507820614082
1997-01-01,1997,1,-48.7515214331523,25.404342583579,-23.3471788495733
1997-02-01,1997,2,-46.5735576849243,24.652879802936,-21.9206778819883
1997-03-01,1997,3,-44.2024010307598,25.193587833475,-19.0088131972848
1997-04-01,1997,4,-42.5175582659257,25.733841292661,-16.7837169732647
1997-05-01,1997,5,-41.4741582305357,26.103710468848,-15.3704477616877
1997-06-01,1997,6,-41.7694522824118,25.383203255909,-16.3862490265028
1997-07-01,1997,7,-43.535848243736,25.2885614359731,-18.2472868077629
1997-08-01,1997,8,-45.0340689131633,25.609334785016,-19.4247341281473
